Cake_Flavor,Flour_Quantity (g),Sugar_Content (g),Butter_Quantity (g),Egg_Count,Milk_Quantity (ml),Oven_Temperature (°C),Baking_Time (min),Mixing_Time (min),Cooling_Time (min),Decoration_Time (min),Oven_Type,Frosting_Type,Ingredient_Source,Production_Cost (₹),Temperature_Humidity (%),Ingredient_Quality_Score,Baker_Experience (years),Customer_Rating,Production_Date,Cake_Quality
Vanilla,301.3 g,198.7 g,132.1,3.0,186.0,200.0 °C,32.8,18.5,18.8,11.0,Electric,Fondant,Mixed,309.2,56.3 %,6.4,6,4.6,2024-03-16,Average
Chocolate,350.0 g,180.6 g,111.6,,156.3,181.0 °C,22.3,14.1,17.8,14.7,Gas,Fondant,Local,288.8,53.0 %,8.5,4,3.8,2025-07-08,Good
Black Forest,272.2 g,196.0 g,138.4,3.0,157.8,224.8 °C,32.0,13.6,19.3,2.1,Convection,Ganache,Mixed,232.4,55.3 %,8.9,10,3.9,2023-10-20,Good
Red Velvet,245.3 g,228.8 g,147.8,3.0,178.1,196.1 °C,21.1,4.7,17.0,8.4,Electric,Fondant,Imported,238.8,46.4 %,9.7,1,2.5,2023-08-05,Excellent
Chocolate,275.7 g,197.1 g,145.9,3.0,182.2,241.6 °C,43.2,10.9,15.7,8.1,Electric,Buttercream,,365.9,52.9 %,7.6,13,4.3,2023-02-28,Good
Red Velvet,222.6 g,197.2 g,128.3,4.0,179.8,194.1 °C,24.7,11.4,14.5,12.0,Electric,Buttercream,Local,272.7,45.7 %,9.5,11,5.0,2024-11-20,Excellent
Chocolate,290.0 g,202.5 g,111.4,4.0,161.1,186.8 °C,26.4,8.5,12.0,8.2,Gas,Buttercream,Mixed,338.4,48.3 %,8.8,5,4.1,2025-07-11,Good
Chocolate Truffle,294.4 g,205.5 g,120.0,4.0,180.6,193.7 °C,32.6,5.6,10.3,2.4,Convection,Ganache,Mixed,208.4,47.3 %,7.2,9,3.8,2023-03-01,Good
Vanilla,352.2 g,189.2 g,168.6,4.0,179.1,196.7 °C,30.7,11.3,14.5,8.3,Electric,Whipped Cream,Mixed,255.5,52.4 %,4.5,13,3.3,2025-09-11,Poor
Black Forest,271.5 g,203.0 g,157.8,2.0,174.5,194.3 °C,50.6,4.5,14.4,14.0,Electric,Whipped Cream,Imported,226.3,55.5 %,8.7,6,4.3,2025-08-29,Good
Vanilla,292.7 g,177.8 g,136.5,4.0,159.4,189.0 °C,44.4,9.0,11.9,12.1,Electric,Fondant,Local,370.4,55.0 %,7.0,1,3.7,2025-03-08,Good
Red Velvet,252.0 g,181.4 g,141.3,5.0,196.2,191.5 °C,33.1,11.6,16.8,14.2,Electric,Whipped Cream,Imported,227.0,57.6 %,8.1,4,3.7,2024-05-09,Good
Strawberry,266.4 g,183.4 g,122.5,2.0,177.9,230.6 °C,47.5,11.0,19.8,2.3,Gas,Fondant,Local,277.8,53.0 %,6.8,8,4.9,2023-12-22,Average
Chocolate,236.2 g,205.7 g,169.7,4.0,156.9,194.4 °C,38.5,10.8,13.1,5.9,Electric,Ganache,Imported,439.1,51.1 %,6.6,11,4.0,2025-08-10,Average
Butterscotch,271.5 g,198.8 g,126.6,2.0,174.4,243.3 °C,34.7,9.4,15.7,4.9,Convection,Buttercream,Mixed,206.3,55.6 %,9.2,3,4.3,2023-02-17,Excellent
White Forest,268.0 g,192.8 g,147.1,2.0,161.3,217.2 °C,27.7,7.8,12.5,6.8,Gas,Ganache,Imported,228.3,47.8 %,4.7,15,3.2,2025-06-08,Poor
Chocolate Truffle,288.6 g,211.2 g,119.0,3.0,178.4,197.3 °C,30.2,8.5,18.0,17.4,Electric,Buttercream,Local,223.0,50.7 %,6.2,9,4.0,2024-01-09,Average
Chocolate Truffle,258.5 g,203.6 g,135.0,4.0,235.0,209.6 °C,52.5,3.0,16.9,6.9,Gas,Buttercream,Local,282.0,56.4 %,4.9,6,3.7,2023-02-19,Poor
Strawberry,280.8 g,189.9 g,168.4,2.0,183.1,190.4 °C,38.8,6.6,12.5,5.0,Gas,Ganache,Mixed,230.6,69.4 %,7.6,4,3.4,2023-06-30,Good
Chocolate Truffle,267.1 g,178.0 g,123.5,2.0,184.9,,33.1,12.4,16.8,7.3,Convection,Fondant,Local,249.0,61.7 %,6.2,8,4.1,2025-02-17,Average
Chocolate,267.2 g,181.1 g,154.5,2.0,234.9,223.3 °C,35.6,9.8,6.1,4.4,Electric,Fondant,Local,447.6,52.2 %,6.0,4,4.7,2025-03-22,Average
Chocolate,280.7 g,172.4 g,121.9,2.0,187.3,208.5 °C,36.1,13.6,17.4,1.7,Gas,Ganache,Imported,374.5,66.9 %,6.8,8,4.0,,Average
Chocolate,279.3 g,198.4 g,124.1,3.0,193.0,190.8 °C,34.6,8.9,12.1,10.8,Gas,Whipped Cream,Imported,211.8,52.3 %,7.7,1,3.5,2024-06-02,Good
Vanilla,307.1 g,180.5 g,138.1,2.0,183.0,208.4 °C,20.0,16.1,10.9,12.9,Electric,Ganache,Imported,302.8,61.2 %,8.3,10,4.3,2024-10-24,Good
Vanilla,273.9 g,186.3 g,160.3,5.0,166.7,188.2 °C,41.8,9.5,11.6,8.1,Electric,Ganache,Local,342.6,57.1 %,8.4,4,3.1,2023-05-23,Good
,266.6 g,193.0 g,133.0,2.0,193.6,179.7 °C,49.3,13.9,12.0,15.0,Convection,Ganache,Local,309.9,50.0 %,9.3,8,4.4,2023-11-29,Excellent
Pineapple,271.9 g,220.8 g,151.3,3.0,249.0,202.5 °C,37.3,12.7,9.8,3.0,Gas,Fondant,Local,262.3,51.7 %,6.7,2,3.8,2023-12-29,Average
Vanilla,256.0 g,217.6 g,165.3,3.0,143.6,177.1 °C,38.6,11.5,20.1,5.8,Electric,Buttercream,Mixed,277.6,55.3 %,8.0,11,4.5,2023-02-15,Good
Vanilla,266.3 g,194.4 g,125.9,2.5,164.7,192.0 °C,28.4,14.1,15.4,7.5,Electric,Fondant,Imported,387.9,47.8 %,6.7,2,3.2,2025-09-08,Average
,373.3 g,227.5 g,117.0,3.0,154.3,,31.9,13.9,18.8,15.4,Gas,Buttercream,Imported,245.4,51.5 %,7.0,4,2.8,2024-01-10,Good
Chocolate,250.7 g,,132.0,3.0,157.1,228.6 °C,38.0,9.4,18.2,9.1,Electric,Buttercream,Local,319.3,51.6 %,7.6,7,3.3,2024-07-27,Good
Pineapple,268.8 g,,169.1,4.0,225.3,188.9 °C,36.4,9.5,15.1,15.7,Electric,Whipped Cream,Local,437.9,49.5 %,7.2,4,3.3,2023-04-16,Good
Chocolate,265.5 g,211.2 g,125.3,2.0,173.4,184.1 °C,33.6,11.4,21.1,5.7,Electric,Ganache,Imported,302.7,53.1 %,8.6,1,3.3,2025-07-14,Good
Butterscotch,269.8 g,197.6 g,161.5,1.0,204.0,212.1 °C,43.4,14.9,,0.0,Convection,Fondant,Local,256.2,59.4 %,7.5,9,5.0,2023-07-02,Good
White Forest,267.2 g,180.1 g,133.6,3.0,159.0,201.8 °C,36.4,11.7,15.8,5.2,Electric,Ganache,Imported,230.6,48.5 %,8.4,4,3.1,2023-11-16,Good
Chocolate,287.9 g,187.3 g,185.7,3.0,159.6,199.5 °C,39.5,14.7,16.6,11.8,Gas,Ganache,Local,295.0,50.6 %,5.3,8,4.0,2024-02-06,Average
Chocolate,232.3 g,209.1 g,206.0,2.0,150.4,178.6 °C,30.8,11.1,12.4,6.8,Electric,Ganache,Mixed,382.1,57.8 %,7.4,1,3.9,2023-10-05,Good
Pineapple,319.4 g,209.7 g,162.0,3.0,235.9,218.1 °C,41.9,8.0,14.7,7.5,Electric,Buttercream,Local,338.2,59.4 %,10.0,10,4.2,2024-08-12,Excellent
Black Forest,301.7 g,210.6 g,115.8,,206.1,,26.7,5.8,14.7,3.9,Convection,Buttercream,Local,402.4,67.9 %,6.5,4,4.0,2024-07-29,Average
White Forest,242.5 g,182.5 g,109.5,2.5,149.6,201.4 °C,35.0,11.9,11.6,8.7,Electric,Buttercream,Mixed,201.1,80.7 %,8.9,13,3.1,2023-08-08,Good
White Forest,221.8 g,179.5 g,139.4,3.0,221.7,221.0 °C,38.0,8.4,19.1,21.5,Gas,Buttercream,Imported,339.9,50.8 %,8.6,8,4.9,2025-07-31,Good
Chocolate,249.0 g,199.5 g,158.6,,170.3,200.1 °C,31.7,12.2,14.8,1.4,Electric,Buttercream,Mixed,323.3,46.6 %,8.5,2,4.5,2023-02-12,Good
Vanilla,269.9 g,213.3 g,148.6,1.0,193.7,194.5 °C,35.3,10.6,12.3,8.4,Gas,Ganache,Local,213.0,49.2 %,8.3,14,4.7,2025-06-18,Good
Chocolate,410.8 g,195.5 g,126.5,2.0,179.8,183.8 °C,40.5,8.7,10.9,9.7,Electric,Whipped Cream,Imported,208.0,51.9 %,4.2,5,4.6,,Poor
Chocolate Truffle,298.0 g,234.6 g,117.3,2.0,141.1,189.8 °C,40.6,7.2,21.0,6.4,Electric,Ganache,Local,228.9,54.2 %,7.8,9,4.5,2023-05-29,Good
Strawberry,230.3 g,196.1 g,,3.0,155.0,244.6 °C,34.8,8.6,11.4,0.1,Convection,Buttercream,Local,350.6,55.0 %,5.8,3,5.0,2025-07-05,Average
Vanilla,256.7 g,195.5 g,189.6,4.0,231.5,190.2 °C,31.7,6.7,13.4,13.8,Electric,Ganache,Imported,437.4,57.8 %,6.7,2,3.5,,Average
Chocolate,276.1 g,210.7 g,127.3,4.0,212.8,205.9 °C,38.4,7.2,19.7,6.8,Electric,Buttercream,Imported,273.6,48.8 %,6.4,6,4.0,2024-05-17,Average
Vanilla,286.9 g,226.1 g,156.4,4.0,150.3,186.4 °C,51.8,3.0,11.8,6.9,Electric,Buttercream,Imported,338.2,59.8 %,7.1,2,4.4,2025-09-16,Good
Vanilla,240.9 g,173.8 g,223.6,2.0,185.1,193.7 °C,39.6,3.2,14.7,13.0,Gas,Whipped Cream,Imported,332.0,49.2 %,7.7,5,3.5,2025-02-03,Good
White Forest,273.4 g,176.8 g,134.8,2.0,171.7,177.1 °C,48.6,10.4,18.4,6.1,Electric,Fondant,Mixed,352.8,51.6 %,9.7,12,4.1,2023-06-19,Excellent
Black Forest,255.9 g,189.5 g,135.2,2.0,221.6,197.5 °C,36.8,16.1,12.5,9.1,Gas,Whipped Cream,Local,476.2,62.4 %,8.2,13,2.4,2024-07-25,Good
Chocolate Truffle,245.9 g,311.7 g,149.9,4.0,172.0,192.8 °C,37.6,10.7,7.9,11.4,Electric,Whipped Cream,Mixed,266.2,68.8 %,7.1,1,4.6,2024-07-17,Good
Red Velvet,287.1 g,190.4 g,133.2,3.0,156.5,223.7 °C,20.0,10.6,15.2,16.9,Electric,Ganache,Mixed,191.4,50.2 %,6.8,1,4.3,2024-08-23,Average
Chocolate,307.6 g,193.1 g,171.2,1.0,204.5,186.2 °C,33.7,13.5,5.2,10.1,Electric,Buttercream,Local,284.8,57.1 %,9.3,3,4.5,2024-03-12,Excellent
Black Forest,310.6 g,209.4 g,131.3,2.0,223.8,191.8 °C,42.9,10.5,8.6,12.5,Electric,Buttercream,Mixed,225.8,51.2 %,8.0,3,4.4,2025-02-01,Good
White Forest,299.3 g,218.9 g,137.6,2.0,191.6,214.4 °C,37.2,10.4,17.7,0.0,Electric,Buttercream,Imported,290.9,61.8 %,10.0,13,4.2,2023-10-08,Excellent
Strawberry,262.2 g,199.0 g,117.8,2.5,198.2,197.8 °C,34.3,5.9,14.5,15.8,Gas,Buttercream,Imported,366.4,48.4 %,6.7,8,2.9,2025-03-06,Average
White Forest,305.1 g,224.4 g,134.0,2.0,146.3,195.7 °C,35.4,9.9,15.1,7.0,Electric,Whipped Cream,Imported,245.7,45.9 %,8.7,5,4.0,2024-03-01,Good
Red Velvet,289.0 g,,122.8,3.0,144.5,195.6 °C,49.0,8.2,18.4,15.9,Convection,Buttercream,Imported,231.6,57.3 %,6.8,10,2.7,2023-03-16,Average
Red Velvet,282.6 g,181.9 g,145.1,2.0,143.0,184.4 °C,30.0,9.6,15.6,10.0,Gas,Fondant,Imported,392.7,63.3 %,7.2,5,3.4,2023-12-02,Good
Red Velvet,258.9 g,224.3 g,115.6,3.0,217.6,191.8 °C,43.3,8.4,17.4,9.5,Electric,Whipped Cream,Local,257.9,66.4 %,8.3,12,4.6,2024-10-16,Good
Chocolate,262.2 g,195.7 g,160.6,3.8,166.7,199.6 °C,48.0,8.5,14.0,7.4,Electric,Ganache,Local,367.9,54.2 %,7.8,9,4.9,2024-05-20,Good
Chocolate,280.5 g,174.9 g,124.5,2.0,208.1,182.3 °C,40.5,9.4,22.0,9.2,Electric,Whipped Cream,Local,200.7,48.1 %,6.7,10,4.2,,Average
Chocolate,400.6 g,174.2 g,186.7,2.0,160.8,183.5 °C,27.9,10.5,9.5,12.7,Electric,Ganache,Local,379.3,63.6 %,7.7,3,4.1,2024-09-07,Good
Black Forest,288.7 g,181.3 g,172.2,2.0,177.8,220.8 °C,40.0,7.1,21.4,9.1,Electric,Whipped Cream,Imported,374.3,61.7 %,6.8,6,4.5,2025-03-18,Average
Vanilla,258.9 g,195.5 g,149.3,2.0,155.5,206.7 °C,39.3,9.2,13.3,9.5,Electric,Whipped Cream,Local,374.4,50.1 %,9.9,7,3.8,2024-07-16,Excellent
Red Velvet,252.8 g,,116.8,4.0,168.4,203.2 °C,47.3,9.7,11.0,10.3,Electric,Whipped Cream,Imported,547.1,44.9 %,7.7,11,4.5,2023-09-17,Good
Chocolate Truffle,262.3 g,189.2 g,127.9,2.0,135.7,190.2 °C,33.8,10.4,20.4,4.9,Gas,Whipped Cream,Local,280.9,56.8 %,8.6,4,3.5,2023-08-26,Good
,382.7 g,203.8 g,124.2,3.0,168.6,201.9 °C,20.0,13.5,12.9,9.5,Electric,Ganache,Local,225.6,57.5 %,8.0,7,3.9,2025-02-25,Good
Vanilla,265.1 g,187.3 g,125.9,3.0,166.1,169.7 °C,27.3,13.1,12.4,12.2,Electric,Fondant,Local,276.9,57.7 %,7.1,4,3.8,2023-02-23,Good
White Forest,313.5 g,226.2 g,179.2,1.0,136.0,181.8 °C,33.5,13.3,5.3,3.8,Convection,Buttercream,Local,267.2,56.1 %,8.2,11,3.6,2024-07-31,Good
Chocolate,265.8 g,278.5 g,135.5,3.0,192.7,,35.1,12.2,15.9,5.5,Gas,Ganache,Imported,302.6,57.5 %,7.2,11,3.9,2024-10-14,Good
Chocolate,287.2 g,188.1 g,127.4,3.0,198.2,188.4 °C,41.5,18.4,21.4,10.8,Gas,Ganache,Local,235.0,60.1 %,6.6,8,4.1,2025-01-01,Average
Vanilla,308.4 g,206.0 g,126.2,1.0,159.2,195.0 °C,34.2,10.5,16.1,15.1,Gas,Ganache,Local,538.0,56.4 %,7.5,4,4.3,2023-03-26,Good
Chocolate,260.0 g,204.1 g,129.3,,146.1,204.2 °C,30.7,7.0,15.6,0.0,Gas,Buttercream,Local,268.1,51.4 %,7.4,10,3.9,2024-09-27,Good
Chocolate Truffle,258.0 g,,149.3,3.0,250.5,187.4 °C,,15.5,,18.0,Electric,Whipped Cream,Imported,439.9,69.7 %,8.4,14,5.0,2025-04-07,Good
Pineapple,351.2 g,210.2 g,115.9,2.0,186.8,189.2 °C,33.7,10.5,15.2,20.7,Gas,Ganache,Imported,325.3,51.4 %,5.6,1,3.7,2025-06-03,Average
Black Forest,317.0 g,206.0 g,140.1,3.0,124.1,192.8 °C,36.4,15.1,13.2,16.0,Electric,Whipped Cream,Imported,228.6,55.7 %,5.1,4,3.2,2025-07-02,Average
Chocolate Truffle,308.4 g,186.7 g,146.8,3.0,165.5,200.7 °C,37.1,9.5,10.9,6.4,Electric,Fondant,Mixed,175.1,51.7 %,8.5,15,3.0,2024-10-29,Good
Pineapple,308.2 g,229.1 g,114.9,2.0,159.4,177.1 °C,40.5,14.8,14.0,15.8,Gas,Ganache,Local,276.0,54.3 %,6.7,10,4.1,2024-12-03,Average
Chocolate,294.7 g,199.7 g,118.1,3.0,157.5,203.2 °C,37.3,17.3,13.1,9.8,Electric,Whipped Cream,Local,244.4,53.8 %,5.0,7,3.6,2024-12-01,Average
Chocolate Truffle,372.5 g,188.2 g,137.3,4.0,219.4,197.9 °C,23.0,5.7,18.4,8.9,Electric,Buttercream,Local,247.6,45.9 %,5.1,10,3.1,2025-06-13,Average
Strawberry,279.4 g,273.2 g,174.5,1.0,186.7,200.0 °C,24.3,7.4,14.8,8.3,Convection,Fondant,Mixed,483.1,48.5 %,8.4,3,2.4,2023-10-11,Good
Pineapple,299.4 g,193.2 g,167.0,2.0,200.6,187.6 °C,31.9,12.3,17.6,9.3,Gas,Fondant,Imported,315.4,49.1 %,7.2,1,4.5,2024-06-13,Good
Chocolate Truffle,237.8 g,200.8 g,128.2,,174.0,197.5 °C,32.2,12.9,11.0,8.6,Electric,Fondant,Local,330.3,57.5 %,8.7,3,4.8,2025-04-23,Good
Vanilla,253.0 g,199.1 g,173.5,3.0,209.2,215.4 °C,46.4,10.4,12.3,8.3,Electric,Ganache,Local,482.5,48.0 %,7.2,6,3.5,2025-01-07,Good
,243.5 g,192.9 g,132.6,3.0,167.0,210.0 °C,28.0,10.6,16.5,15.9,Convection,Buttercream,Mixed,241.3,45.3 %,6.2,3,3.0,2024-06-24,Average
Chocolate,330.8 g,205.2 g,132.5,2.0,186.0,221.0 °C,39.3,7.7,9.2,13.2,Electric,Whipped Cream,Local,462.2,54.2 %,8.4,1,2.5,2024-09-12,Good
Red Velvet,217.1 g,180.7 g,140.0,2.0,195.0,185.5 °C,47.9,13.7,11.6,11.8,Electric,Whipped Cream,Imported,287.3,49.1 %,8.0,8,4.5,2024-02-19,Good
Pineapple,265.0 g,208.8 g,156.8,4.0,160.2,210.1 °C,40.5,13.7,19.6,7.6,Electric,Ganache,Mixed,226.1,53.0 %,6.4,6,3.3,2025-10-21,Average
Chocolate Truffle,210.6 g,169.0 g,128.2,3.0,128.8,189.1 °C,42.7,12.1,18.0,11.6,Electric,Buttercream,Local,402.3,59.8 %,6.3,10,5.0,2025-04-21,Average
Chocolate,252.8 g,174.5 g,131.4,3.0,136.0,170.8 °C,46.7,5.9,9.2,4.8,Electric,Whipped Cream,Local,247.9,55.2 %,8.2,5,3.3,2023-10-24,Good
Red Velvet,262.4 g,246.9 g,119.9,3.0,284.5,214.9 °C,38.5,10.7,,16.8,Electric,Buttercream,Mixed,214.2,63.9 %,7.0,3,4.6,2025-08-30,Good
Vanilla,336.5 g,175.0 g,145.2,2.0,201.2,211.8 °C,41.6,9.7,17.7,14.7,Gas,Fondant,Local,344.2,49.8 %,7.0,7,3.0,2023-12-09,Good
Chocolate,292.3 g,166.9 g,159.3,2.0,203.0,226.8 °C,35.7,9.8,14.7,13.4,Electric,Whipped Cream,Local,209.5,56.2 %,8.1,5,4.2,2025-03-24,Good
Chocolate,252.8 g,175.3 g,161.0,2.0,234.7,178.9 °C,50.1,5.3,17.9,1.6,Gas,Whipped Cream,Local,346.3,47.3 %,6.9,4,1.8,2025-07-09,Average
Vanilla,320.8 g,243.7 g,118.6,4.0,147.9,200.9 °C,38.1,8.3,14.0,8.4,Electric,Whipped Cream,Mixed,273.7,55.1 %,7.4,11,3.8,2025-07-04,Good
Butterscotch,278.5 g,168.7 g,131.6,3.0,157.6,194.8 °C,29.3,10.5,20.6,8.5,Electric,Ganache,Local,238.1,52.0 %,6.4,9,4.6,2023-07-07,Average
Vanilla,279.2 g,179.1 g,168.3,4.0,148.4,219.3 °C,28.4,10.5,11.7,10.0,Gas,Whipped Cream,Imported,248.2,53.2 %,6.7,9,2.1,2024-08-22,Average
Red Velvet,243.5 g,172.5 g,,3.0,287.3,179.7 °C,31.1,9.8,14.6,11.9,Gas,Buttercream,Local,333.9,56.0 %,9.8,10,4.5,2023-11-04,Excellent
Black Forest,248.7 g,190.2 g,138.9,3.0,150.8,194.4 °C,22.7,8.4,13.9,2.5,Electric,Whipped Cream,Imported,356.1,54.9 %,7.2,3,3.4,2023-03-11,Good
Vanilla,253.0 g,187.3 g,138.4,2.0,226.8,199.8 °C,46.9,10.4,17.1,14.8,Electric,Ganache,Mixed,214.3,49.6 %,8.0,1,4.3,2023-12-11,Good
Butterscotch,279.5 g,186.6 g,,2.0,159.3,211.2 °C,46.9,7.2,25.3,14.0,Electric,Ganache,Local,224.8,54.1 %,8.1,10,4.2,2024-05-10,Good
Butterscotch,280.6 g,248.1 g,143.9,4.0,181.0,205.2 °C,42.4,11.3,6.5,17.3,Electric,Whipped Cream,Imported,350.3,57.6 %,8.7,7,4.3,2023-06-28,Good
