Cake_Flavor,Flour_Quantity (g),Sugar_Content (g),Butter_Quantity (g),Egg_Count,Milk_Quantity (ml),Oven_Temperature (°C),Baking_Time (min),Mixing_Time (min),Cooling_Time (min),Decoration_Time (min),Oven_Type,Frosting_Type,Ingredient_Source,Production_Cost (₹),Temperature_Humidity (%),Ingredient_Quality_Score,Baker_Experience (years),Customer_Rating,Cake_Quality,Cake_Quality_Encoded
7,270.9,223.4,109.4,1,178.2,210.3,35.4,10.2,18.1,12.4,2,0,1,322.9,47.9,10.0,8.0,4.0,1,1
5,295.1,213.1,180.6,2,159.0,198.7,25.6,8.8,6.6,8.1,1,1,2,376.4,55.0,6.7,9.0,4.0,0,0
8,283.2,211.2,132.5,3,161.9,185.5,36.5,3.9,16.1,17.2,1,3,3,341.9,47.7,8.3,4.0,3.9,2,2
2,328.8,196.7,133.6,4,166.6,181.2,43.4,10.8,15.9,3.8,1,2,2,346.1,48.0,8.0,14.0,4.2,2,2
5,293.9,196.7,149.3,3,197.4,209.2,34.4,11.7,21.3,12.3,2,3,2,309.5,52.3,7.2,4.0,3.7,2,2
9,260.2,211.2,137.3,2,164.4,200.22282749675747,31.6,7.2,17.8,13.2,1,1,2,293.4,49.6,8.6,8.0,4.0,2,2
2,220.8,208.0,145.5,2,207.8,209.9,32.6,11.0,19.2,6.4,1,1,2,455.2,46.8,6.6,8.0,3.8,0,0
6,270.1,221.9,121.1,4,176.7,201.4,45.2,8.5,14.9,16.0,1,0,1,284.3,59.2,7.6,6.0,4.3,2,2
2,319.0,184.8,135.6,1,168.6,195.4,32.2,4.8,16.3,4.9,2,1,2,524.2,46.5,5.1,1.0,3.3,0,0
2,265.3,185.1,113.3,4,161.8,188.2,40.5,8.3,10.9,10.9,0,2,1,259.3,60.0,8.8,9.0,4.5,2,2
1,278.9,210.8,134.0,3,177.5,199.8,42.3,4.6,12.9,9.2,2,2,1,282.9,54.5,6.9,1.0,4.0,0,0
1,293.2,180.6,174.7,3,193.5,192.4,39.7,10.6,17.0,3.8,2,3,1,345.9,47.0,7.7,7.0,4.4,2,2
4,248.1,208.7,117.1,3,177.2,218.7,29.9,12.2,23.2,14.6,1,2,1,245.4,55.1,7.5,9.0,3.6,2,2
7,301.3,198.7,132.1,3,186.0,200.0,32.8,10.0,18.8,11.0,1,1,3,309.2,56.3,6.4,6.0,4.6,0,0
2,350.0,180.6,111.6,2,156.3,181.0,22.3,14.1,17.8,14.7,2,1,2,288.8,53.0,8.5,4.0,3.8,2,2
0,272.2,196.0,138.4,3,157.8,224.8,32.0,13.6,19.3,2.1,0,2,3,232.4,55.3,8.9,10.0,3.9,2,2
5,245.3,228.8,147.8,3,178.1,196.1,21.1,4.7,17.0,8.4,1,1,1,238.8,46.4,9.7,1.0,2.5,1,1
2,275.7,197.1,145.9,3,182.2,198.7,43.2,10.9,15.7,8.1,1,0,5,365.9,52.9,7.6,13.0,4.3,2,2
5,222.6,197.2,128.3,4,179.8,194.1,24.7,11.4,14.5,12.0,1,0,2,272.7,45.7,9.5,11.0,5.0,1,1
2,290.0,202.5,111.4,4,161.1,186.8,26.4,8.5,12.0,8.2,2,0,3,338.4,48.3,8.8,5.0,4.1,2,2
3,294.4,205.5,120.0,4,180.6,193.7,32.6,5.6,10.3,2.4,0,2,3,208.4,47.3,7.2,9.0,3.8,2,2
7,352.2,189.2,168.6,4,179.1,196.7,30.7,11.3,14.5,8.3,1,3,3,255.5,52.4,4.5,13.0,3.3,3,3
0,271.5,203.0,157.8,2,174.5,194.3,50.6,4.5,14.4,14.0,1,3,1,226.3,55.5,8.7,6.0,4.3,2,2
7,292.7,177.8,136.5,4,159.4,189.0,44.4,9.0,11.9,12.1,1,1,2,370.4,55.0,7.0,1.0,3.7,2,2
5,252.0,181.4,141.3,5,196.2,191.5,33.1,11.6,16.8,14.2,1,3,1,227.0,57.6,8.1,4.0,3.7,2,2
6,266.4,183.4,122.5,2,177.9,230.6,47.5,11.0,19.8,2.3,2,1,2,277.8,53.0,6.8,8.0,4.9,0,0
2,236.2,205.7,169.7,4,156.9,194.4,38.5,10.8,13.1,5.9,1,2,1,439.1,51.1,6.6,11.0,4.0,0,0
1,271.5,198.8,126.6,2,174.4,198.7,34.7,9.4,15.7,4.9,0,0,3,206.3,55.6,9.2,3.0,4.3,1,1
8,268.0,192.8,147.1,2,161.3,217.2,27.7,7.8,12.5,6.8,2,2,1,228.3,47.8,4.7,15.0,3.2,3,3
3,288.6,211.2,119.0,3,178.4,197.3,30.2,8.5,18.0,17.4,1,0,2,223.0,50.7,6.2,9.0,4.0,0,0
3,258.5,203.6,135.0,4,235.0,209.6,52.5,3.0,16.9,6.9,2,0,2,282.0,56.4,4.9,6.0,3.7,3,3
6,280.8,189.9,168.4,2,183.1,190.4,38.8,6.6,12.5,5.0,2,2,3,230.6,52.9,7.6,4.0,3.4,2,2
3,267.1,178.0,123.5,2,184.9,200.22282749675747,33.1,12.4,16.8,7.3,0,1,2,249.0,61.7,6.2,8.0,4.1,0,0
2,267.2,181.1,154.5,2,234.9,223.3,35.6,9.8,6.1,4.4,1,1,2,447.6,52.2,6.0,4.0,4.7,0,0
2,280.7,172.4,121.9,2,187.3,208.5,36.1,13.6,17.4,1.7,2,2,1,374.5,66.9,6.8,8.0,4.0,0,0
2,279.3,198.4,124.1,3,193.0,190.8,34.6,8.9,12.1,10.8,2,3,1,211.8,52.3,7.7,1.0,3.5,2,2
7,307.1,180.5,138.1,2,183.0,208.4,20.0,16.1,10.9,12.9,1,2,1,302.8,61.2,8.3,10.0,4.3,2,2
7,273.9,186.3,160.3,5,166.7,188.2,41.8,9.5,11.6,8.1,1,2,2,342.6,57.1,8.4,4.0,3.1,2,2
9,266.6,193.0,133.0,2,193.6,179.7,49.3,13.9,12.0,15.0,0,2,2,309.9,50.0,9.3,8.0,4.4,1,1
4,271.9,220.8,151.3,3,249.0,202.5,37.3,12.7,9.8,3.0,2,1,2,262.3,51.7,6.7,2.0,3.8,0,0
7,256.0,217.6,165.3,3,143.6,177.1,38.6,11.5,20.1,5.8,1,0,3,277.6,55.3,8.0,11.0,4.5,2,2
7,266.3,194.4,125.9,2,164.7,192.0,28.4,14.1,15.4,7.5,1,1,1,387.9,47.8,6.7,2.0,3.2,0,0
9,278.4,227.5,117.0,3,154.3,200.22282749675747,31.9,13.9,18.8,15.4,2,0,1,245.4,51.5,7.0,4.0,2.8,2,2
2,250.7,198.8984699992949,132.0,3,157.1,228.6,38.0,9.4,18.2,9.1,1,0,2,319.3,51.6,7.6,7.0,3.3,2,2
4,268.8,198.8984699992949,169.1,4,225.3,188.9,36.4,9.5,15.1,15.7,1,3,2,437.9,49.5,7.2,4.0,3.3,2,2
2,265.5,211.2,125.3,2,173.4,184.1,33.6,11.4,21.1,5.7,1,2,1,302.7,53.1,8.6,1.0,3.3,2,2
1,269.8,197.6,161.5,1,204.0,212.1,43.4,14.9,14.994355296790683,10.284815218873584,0,1,2,256.2,59.4,7.5,9.0,5.0,2,2
8,267.2,180.1,133.6,3,159.0,201.8,36.4,11.7,15.8,5.2,1,2,1,230.6,48.5,8.4,4.0,3.1,2,2
2,287.9,187.3,139.1,3,159.6,199.5,39.5,14.7,16.6,11.8,2,2,2,295.0,50.6,5.3,8.0,4.0,0,0
2,232.3,209.1,139.1,2,150.4,178.6,30.8,11.1,12.4,6.8,1,2,3,382.1,57.8,7.4,1.0,3.9,2,2
4,319.4,209.7,162.0,3,235.9,218.1,41.9,8.0,14.7,7.5,1,0,2,338.2,59.4,10.0,10.0,4.2,1,1
0,301.7,210.6,115.8,2,206.1,200.22282749675747,26.7,5.8,14.7,3.9,0,0,2,402.4,52.9,6.5,4.0,4.0,0,0
8,242.5,182.5,109.5,2,149.6,201.4,35.0,11.9,11.6,8.7,1,0,3,201.1,52.9,8.9,13.0,3.1,2,2
8,221.8,179.5,139.4,3,221.7,221.0,38.0,8.4,19.1,21.5,2,0,1,339.9,50.8,8.6,8.0,4.9,2,2
2,249.0,199.5,158.6,2,170.3,200.1,31.7,12.2,14.8,1.4,1,0,3,323.3,46.6,8.5,2.0,4.5,2,2
7,269.9,213.3,148.6,1,193.7,194.5,35.3,10.6,12.3,8.4,2,2,2,213.0,49.2,8.3,14.0,4.7,2,2
2,278.4,195.5,126.5,2,179.8,183.8,40.5,8.7,10.9,9.7,1,3,1,208.0,51.9,4.2,5.0,4.6,3,3
3,298.0,234.6,117.3,2,141.1,189.8,40.6,7.2,21.0,6.4,1,2,2,228.9,54.2,7.8,9.0,4.5,2,2
6,230.3,196.1,142.03971788134422,3,155.0,198.7,34.8,8.6,11.4,0.1,0,0,2,350.6,55.0,5.8,3.0,5.0,0,0
7,256.7,195.5,139.1,4,231.5,190.2,31.7,6.7,13.4,13.8,1,2,1,437.4,57.8,6.7,2.0,3.5,0,0
2,276.1,210.7,127.3,4,212.8,205.9,38.4,7.2,19.7,6.8,1,0,1,273.6,48.8,6.4,6.0,4.0,0,0
7,286.9,226.1,156.4,4,150.3,186.4,51.8,3.0,11.8,6.9,1,0,1,338.2,59.8,7.1,2.0,4.4,2,2
7,240.9,173.8,139.1,2,185.1,193.7,39.6,3.2,14.7,13.0,2,3,1,332.0,49.2,7.7,5.0,3.5,2,2
8,273.4,176.8,134.8,2,171.7,177.1,48.6,10.4,18.4,6.1,1,1,3,352.8,51.6,9.7,12.0,4.1,1,1
0,255.9,189.5,135.2,2,221.6,197.5,36.8,16.1,12.5,9.1,2,3,2,476.2,62.4,8.2,13.0,2.4,2,2
3,245.9,196.7,149.9,4,172.0,192.8,37.6,10.7,7.9,11.4,1,3,3,266.2,52.9,7.1,1.0,4.6,2,2
5,287.1,190.4,133.2,3,156.5,223.7,20.0,10.6,15.2,16.9,1,2,3,191.4,50.2,6.8,1.0,4.3,0,0
2,307.6,193.1,171.2,1,204.5,186.2,33.7,13.5,5.2,10.1,1,0,2,284.8,57.1,9.3,3.0,4.5,1,1
0,310.6,209.4,131.3,2,223.8,191.8,42.9,10.5,8.6,12.5,1,0,3,225.8,51.2,8.0,3.0,4.4,2,2
8,299.3,218.9,137.6,2,191.6,214.4,37.2,10.4,17.7,10.284815218873584,1,0,1,290.9,61.8,10.0,13.0,4.2,1,1
6,262.2,199.0,117.8,2,198.2,197.8,34.3,5.9,14.5,15.8,2,0,1,366.4,48.4,6.7,8.0,2.9,0,0
8,305.1,224.4,134.0,2,146.3,195.7,35.4,9.9,15.1,7.0,1,3,1,245.7,45.9,8.7,5.0,4.0,2,2
5,289.0,198.8984699992949,122.8,3,144.5,195.6,49.0,8.2,18.4,15.9,0,0,1,231.6,57.3,6.8,10.0,2.7,0,0
5,282.6,181.9,145.1,2,143.0,184.4,30.0,9.6,15.6,10.0,2,1,1,392.7,63.3,7.2,5.0,3.4,2,2
5,258.9,224.3,115.6,3,217.6,191.8,43.3,8.4,17.4,9.5,1,3,2,257.9,66.4,8.3,12.0,4.6,2,2
2,262.2,195.7,160.6,3,166.7,199.6,48.0,8.5,14.0,7.4,1,2,2,367.9,54.2,7.8,9.0,4.9,2,2
2,280.5,174.9,124.5,2,208.1,182.3,40.5,9.4,22.0,9.2,1,3,2,200.7,48.1,6.7,10.0,4.2,0,0
2,278.4,174.2,139.1,2,160.8,183.5,27.9,10.5,9.5,12.7,1,2,2,379.3,63.6,7.7,3.0,4.1,2,2
0,288.7,181.3,172.2,2,177.8,220.8,40.0,7.1,21.4,9.1,1,3,1,374.3,61.7,6.8,6.0,4.5,0,0
7,258.9,195.5,149.3,2,155.5,206.7,39.3,9.2,13.3,9.5,1,3,2,374.4,50.1,9.9,7.0,3.8,1,1
5,252.8,198.8984699992949,116.8,4,168.4,203.2,47.3,9.7,11.0,10.3,1,3,1,547.1,44.9,7.7,11.0,4.5,2,2
3,262.3,189.2,127.9,2,135.7,190.2,33.8,10.4,20.4,4.9,2,3,2,280.9,56.8,8.6,4.0,3.5,2,2
9,278.4,203.8,124.2,3,168.6,201.9,20.0,13.5,12.9,9.5,1,2,2,225.6,57.5,8.0,7.0,3.9,2,2
7,265.1,187.3,125.9,3,166.1,169.7,27.3,13.1,12.4,12.2,1,1,2,276.9,57.7,7.1,4.0,3.8,2,2
8,313.5,226.2,179.2,1,136.0,181.8,33.5,13.3,5.3,3.8,0,0,2,267.2,56.1,8.2,11.0,3.6,2,2
2,265.8,196.7,135.5,3,192.7,200.22282749675747,35.1,12.2,15.9,5.5,2,2,1,302.6,57.5,7.2,11.0,3.9,2,2
2,287.2,188.1,127.4,3,198.2,188.4,41.5,10.0,21.4,10.8,2,2,2,235.0,60.1,6.6,8.0,4.1,0,0
7,308.4,206.0,126.2,1,159.2,195.0,34.2,10.5,16.1,15.1,2,2,2,538.0,56.4,7.5,4.0,4.3,2,2
2,260.0,204.1,129.3,2,146.1,204.2,30.7,7.0,15.6,10.284815218873584,2,0,2,268.1,51.4,7.4,10.0,3.9,2,2
3,258.0,198.8984699992949,149.3,3,250.5,187.4,35.156114519427405,15.5,14.994355296790683,18.0,1,3,1,439.9,52.9,8.4,14.0,5.0,2,2
4,351.2,210.2,115.9,2,186.8,189.2,33.7,10.5,15.2,20.7,2,2,1,325.3,51.4,5.6,1.0,3.7,0,0
0,317.0,206.0,140.1,3,124.1,192.8,36.4,15.1,13.2,16.0,1,3,1,228.6,55.7,5.1,4.0,3.2,0,0
3,308.4,186.7,146.8,3,165.5,200.7,37.1,9.5,10.9,6.4,1,1,3,175.1,51.7,8.5,15.0,3.0,2,2
4,308.2,229.1,114.9,2,159.4,177.1,40.5,14.8,14.0,15.8,2,2,2,276.0,54.3,6.7,10.0,4.1,0,0
2,294.7,199.7,118.1,3,157.5,203.2,37.3,17.3,13.1,9.8,1,3,2,244.4,53.8,5.0,7.0,3.6,0,0
3,278.4,188.2,137.3,4,219.4,197.9,23.0,5.7,18.4,8.9,1,0,2,247.6,45.9,5.1,10.0,3.1,0,0
6,279.4,196.7,174.5,1,186.7,200.0,24.3,7.4,14.8,8.3,0,1,3,483.1,48.5,8.4,3.0,2.4,2,2
4,299.4,193.2,167.0,2,200.6,187.6,31.9,12.3,17.6,9.3,2,1,1,315.4,49.1,7.2,1.0,4.5,2,2
3,237.8,200.8,128.2,2,174.0,197.5,32.2,12.9,11.0,8.6,1,1,2,330.3,57.5,8.7,3.0,4.8,2,2
7,253.0,199.1,173.5,3,209.2,215.4,46.4,10.4,12.3,8.3,1,2,2,482.5,48.0,7.2,6.0,3.5,2,2
9,243.5,192.9,132.6,3,167.0,210.0,28.0,10.6,16.5,15.9,0,0,3,241.3,45.3,6.2,3.0,3.0,0,0
2,330.8,205.2,132.5,2,186.0,221.0,39.3,7.7,9.2,13.2,1,3,2,462.2,54.2,8.4,1.0,2.5,2,2
5,217.1,180.7,140.0,2,195.0,185.5,47.9,13.7,11.6,11.8,1,3,1,287.3,49.1,8.0,8.0,4.5,2,2
4,265.0,208.8,156.8,4,160.2,210.1,40.5,13.7,19.6,7.6,1,2,3,226.1,53.0,6.4,6.0,3.3,0,0
3,210.6,169.0,128.2,3,128.8,189.1,42.7,12.1,18.0,11.6,1,0,2,402.3,59.8,6.3,10.0,5.0,0,0
2,252.8,174.5,131.4,3,136.0,170.8,46.7,5.9,9.2,4.8,1,3,2,247.9,55.2,8.2,5.0,3.3,2,2
5,262.4,196.7,119.9,3,178.2,214.9,38.5,10.7,14.994355296790683,16.8,1,0,3,214.2,63.9,7.0,3.0,4.6,2,2
7,336.5,175.0,145.2,2,201.2,211.8,41.6,9.7,17.7,14.7,2,1,2,344.2,49.8,7.0,7.0,3.0,2,2
2,292.3,166.9,159.3,2,203.0,226.8,35.7,9.8,14.7,13.4,1,3,2,209.5,56.2,8.1,5.0,4.2,2,2
2,252.8,175.3,161.0,2,234.7,178.9,50.1,5.3,17.9,1.6,2,3,2,346.3,47.3,6.9,4.0,1.8,0,0
7,320.8,243.7,118.6,4,147.9,200.9,38.1,8.3,14.0,8.4,1,3,3,273.7,55.1,7.4,11.0,3.8,2,2
1,278.5,168.7,131.6,3,157.6,194.8,29.3,10.5,20.6,8.5,1,2,2,238.1,52.0,6.4,9.0,4.6,0,0
7,279.2,179.1,168.3,4,148.4,219.3,28.4,10.5,11.7,10.0,2,3,1,248.2,53.2,6.7,9.0,2.1,0,0
5,243.5,172.5,142.03971788134422,3,178.2,179.7,31.1,9.8,14.6,11.9,2,0,2,333.9,56.0,9.8,10.0,4.5,1,1
0,248.7,190.2,138.9,3,150.8,194.4,22.7,8.4,13.9,2.5,1,3,1,356.1,54.9,7.2,3.0,3.4,2,2
7,253.0,187.3,138.4,2,226.8,199.8,46.9,10.4,17.1,14.8,1,2,3,214.3,49.6,8.0,1.0,4.3,2,2
1,279.5,186.6,142.03971788134422,2,159.3,211.2,46.9,7.2,14.994355296790683,14.0,1,2,2,224.8,54.1,8.1,10.0,4.2,2,2
1,280.6,196.7,143.9,4,181.0,205.2,42.4,11.3,6.5,17.3,1,3,1,350.3,57.6,8.7,7.0,4.3,2,2
7,344.9,175.8,128.6,3,227.5,197.8,35.5,11.6,20.9,6.8,2,1,3,279.4,52.9,7.8,9.0,4.6,2,2
5,291.8,193.4,157.9,3,187.8,193.5,26.7,7.6,19.6,12.0,1,2,2,326.9,52.9,7.7,11.0,4.7,2,2
7,214.7,202.7,120.4,1,174.2,196.9,30.5,12.7,16.6,16.1,1,0,1,336.4,49.1,8.6,6.0,5.0,2,2
7,287.2,198.8984699992949,170.7,3,178.2,211.4,39.1,7.8,14.2,7.0,1,1,2,281.6,52.0,5.6,8.0,3.8,0,0
2,237.8,206.1,124.2,3,133.4,186.5,31.9,10.6,12.1,7.8,1,3,3,255.8,56.7,10.0,2.0,3.5,1,1
6,249.3,188.0,149.6,3,152.1,194.7,35.0,12.5,18.6,1.7,2,0,2,227.5,59.0,7.1,9.0,2.1,2,2
5,253.3,198.8984699992949,135.3,2,168.9,194.7,24.7,9.9,17.7,5.5,2,1,1,273.6,55.2,8.8,4.0,4.0,2,2
2,257.4,193.3,130.1,2,217.3,172.5,27.1,8.4,14.994355296790683,10.284815218873584,1,0,2,426.7,52.0,6.1,8.0,4.3,0,0
9,239.5,166.0,142.03971788134422,2,163.4,173.8,30.6,10.0,21.4,6.6,2,2,2,323.5,55.0,8.2,3.0,4.7,2,2
3,285.1,228.8,154.3,4,214.0,178.6,43.9,12.2,14.8,10.6,1,2,2,252.7,52.9,8.7,2.0,4.4,2,2
2,238.7,196.7,137.1,3,135.5,195.0,36.8,11.2,8.1,3.4,1,1,1,305.3,49.9,7.9,7.0,4.2,2,2
2,290.8,192.0,139.1,3,221.9,206.7,29.0,8.7,20.2,14.2,1,0,3,409.2,54.9,5.8,4.0,3.8,0,0
5,278.4,180.0,160.6,3,210.9,189.2,32.2,8.8,10.4,8.3,0,3,1,261.8,48.2,8.0,2.0,3.7,2,2
1,240.5,235.4,125.4,1,149.0,177.1,46.2,9.9,16.0,9.7,2,2,2,277.1,50.4,9.4,10.0,3.0,1,1
2,268.6,196.7,110.5,1,177.2,215.1,40.7,12.6,22.3,15.4,1,1,2,260.5,54.3,8.9,8.0,3.4,2,2
0,217.6,192.2,140.3,2,170.1,202.9,27.0,11.1,14.994355296790683,11.7,1,1,2,284.4,56.3,7.2,4.0,2.6,2,2
8,268.1,191.2,172.6,4,193.6,194.8,36.2,9.4,15.8,8.1,2,2,5,238.5,46.0,7.0,6.0,4.1,2,2
2,302.1,193.9,151.1,2,222.5,202.3,36.1,9.0,11.5,8.2,2,3,2,283.7,53.9,7.0,9.0,4.5,2,2
8,305.4,170.0,179.1,4,158.6,183.6,41.1,6.0,21.6,4.9,1,3,3,347.3,47.3,7.8,10.0,3.5,2,2
7,280.6,189.9,128.3,3,190.7,216.9,25.8,16.8,18.1,11.5,2,1,2,257.3,66.2,4.9,8.0,4.6,3,3
0,312.7,242.8,136.1,4,186.4,203.5,31.3,9.1,14.6,0.2,1,2,2,200.7,52.4,6.0,6.0,4.4,0,0
0,278.4,192.2,136.5,4,182.3,196.0,43.2,8.0,14.994355296790683,6.5,0,0,2,436.8,62.4,10.0,5.0,3.2,1,1
6,354.3,177.9,142.9,4,236.4,193.1,41.2,14.0,15.5,5.0,2,2,1,430.7,55.5,7.1,9.0,5.0,2,2
2,261.4,206.4,155.0,3,183.5,199.4,30.3,8.7,17.7,6.9,1,1,1,311.35,54.7,5.7,5.0,3.8,0,0
4,237.8,183.5,181.1,4,145.9,206.4,38.7,10.9,16.5,7.1,1,0,1,278.5,55.2,8.8,4.0,3.8,2,2
7,264.9,194.1,139.1,3,204.6,175.9,31.4,9.6,14.994355296790683,7.9,1,2,3,371.1,54.7,10.0,3.0,4.1,1,1
2,249.8,174.8,182.4,2,243.7,187.0,38.1,9.2,17.9,3.2,2,2,3,231.7,46.2,9.1,10.0,5.0,1,1
2,294.4,178.0,152.5,2,182.8,193.2,41.3,11.5,17.4,13.5,1,0,2,449.9,46.2,8.0,11.0,4.2,2,2
6,244.0,212.4,132.3,2,231.4,192.7,29.3,11.2,18.2,3.1,1,2,1,295.3,59.6,5.2,11.0,3.8,0,0
0,275.5,197.8,142.6,4,165.7,187.9,32.1,7.1,16.1,13.9,1,0,1,276.8,53.4,8.4,8.0,4.4,2,2
2,310.4,181.8,152.2,2,192.3,211.9,35.8,9.3,16.8,2.8,2,0,3,539.4,53.4,7.0,1.0,3.9,2,2
5,274.5,197.9,140.8,2,138.6,188.2,31.1,12.0,13.9,10.284815218873584,1,3,1,223.6,47.0,7.1,3.0,3.9,2,2
2,249.8,184.5,124.0,2,160.5,183.4,30.1,11.5,19.5,22.4,2,3,2,292.8,46.8,5.6,2.0,4.2,0,0
0,326.0,181.7,130.4,2,183.8,191.3,37.9,9.5,9.2,14.4,1,0,2,209.8,62.3,6.2,3.0,5.0,0,0
2,228.9,224.4,157.6,5,201.9,227.3,35.156114519427405,7.2,14.7,7.4,2,1,2,357.6,50.8,8.5,6.0,4.0,2,2
0,267.3,213.6,133.8,3,193.1,198.5,30.4,13.9,11.7,19.0,1,3,1,231.5,48.2,8.1,11.0,4.7,2,2
7,276.5,198.8984699992949,138.7,2,228.0,191.1,29.0,12.2,16.3,8.4,2,1,2,191.3,61.9,8.1,9.0,4.5,2,2
3,278.5,198.4,136.8,2,139.3,193.3,28.3,17.8,18.9,15.8,0,3,2,300.9,49.7,6.5,1.0,4.0,0,0
9,284.3,195.3,124.2,4,237.1,175.8,34.3,10.2,11.1,10.2,1,1,2,311.35,55.0,7.3,4.0,5.0,2,2
9,300.8,206.2,135.1,2,157.8,195.4,45.8,11.8,17.9,0.8,2,0,1,362.4,52.1,7.4,7.0,3.2,2,2
2,276.7,181.4,130.4,2,145.6,202.1,31.8,10.9,15.5,10.7,2,2,2,356.7,57.3,6.4,6.0,4.6,0,0
3,266.0,198.8984699992949,127.0,3,217.0,205.6,45.6,5.6,10.1,4.7,1,0,3,276.2,64.8,8.9,1.0,3.4,2,2
3,264.8,203.0,122.1,2,148.2,195.8,31.1,10.9,17.3,9.7,1,1,1,293.4,59.4,7.4,4.0,2.9,2,2
7,258.9,190.4,136.4,2,234.3,187.5,24.5,4.5,19.2,14.7,1,0,1,320.8,47.4,7.4,2.0,4.6,2,2
0,308.2,186.4,151.3,3,127.3,214.4,48.7,7.6,14.2,6.1,1,0,1,191.7,49.8,6.5,4.0,3.6,0,0
4,257.9,215.2,164.6,3,156.8,192.6,33.9,10.9,15.5,14.4,0,0,1,367.0,51.9,8.8,7.0,2.7,2,2
9,310.8,192.5,118.3,1,210.2,184.5,42.6,9.9,13.5,12.8,2,2,3,342.0,64.3,6.3,6.0,5.0,0,0
5,278.6,198.8984699992949,180.2,2,202.0,187.2,41.6,3.0,5.0,9.2,1,1,1,259.6,52.6,7.1,3.0,3.4,2,2
2,261.5,188.2,144.0,3,120.3,193.2,40.2,10.6,14.6,0.5,1,0,2,281.7,55.7,7.7,9.0,4.2,2,2
2,301.1,213.2,121.3,2,159.1,193.8,33.2,6.6,14.2,2.7,1,1,2,435.8,46.5,5.6,7.0,3.2,0,0
